#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
187,Monaco,17181,0,67,0,0,0,0,0,431868,1684,78646,1976875,39783,0,2,594,1,0,0,28203
188,Samoa,17006,0,31,0,1605,0,15370,0,84089,153,187397,926612,202239,0,12,6524,1,0,0,75999
189,Tonga,16950,0,13,0,15638,0,1299,0,157310,121,535009,4965327,107749,0,6,8288,0,0,0,12056
190,Marshall Islands,16138,0,17,0,16121,0,0,0,268711,283,0,0,60057,0,4,3533,0,0,0,0
191,Dominica,16038,0,74,0,15964,0,0,0,221691,1023,229344,3170187,72344,0,5,978,0,0,0,0
192,Djibouti,15690,0,189,0,15427,0,74,0,15441,186,305941,301094,1016097,0,65,5376,3,0,0,73
193,CAR,15440,0,113,0,15200,0,127,2,3078,23,81294,16205,5016678,0,325,44395,62,0,0,25
194,Gambia,12626,0,372,0,12189,0,65,0,4935,145,155686,60851,2558482,0,203,6878,16,0,0,25
195,Saint Martin,12324,0,63,0,0,0,0,0,310194,1586,112382,2828643,39730,0,3,631,0,0,0,273395
196,Vanuatu,12019,0,14,0,11976,0,29,0,37346,44,24976,77606,321832,0,27,22988,13,0,0,90
197,Greenland,11971,0,21,0,2761,0,9189,4,210117,369,164926,2894810,56973,0,5,2713,0,0,0,161287
198,Yemen,11945,0,2159,0,9124,0,662,0,383,69,329592,10579,31154867,0,2608,14430,95,0,0,21
199,Caribbean Netherlands,11682,0,38,0,10476,0,1168,0,438398,1426,30126,1130559,26647,0,2,701,1,0,0,43832
200,Sint Maarten,11051,0,92,0,10905,0,54,0,251353,2093,62056,1411454,43966,0,4,478,1,0,0,1228
201,Eritrea,10189,0,103,0,10086,0,0,0,2782,28,23693,6470,3662244,0,359,35556,155,0,0,0
202,Niger,9931,0,312,0,8890,0,729,1,381,12,254538,9759,26083660,0,2626,83601,102,0,0,28
203,St. Vincent Grenadines,9674,0,124,0,9493,0,57,0,86723,1112,114197,1023720,111551,0,12,900,1,0,0,511
204,Guinea-Bissau,9614,0,177,0,8929,0,508,6,4659,86,145231,70385,2063367,0,215,11657,14,0,0,246
205,Comoros,9109,0,161,0,8939,0,9,0,10038,177,0,0,907419,0,100,5636,0,0,0,10
206,Antigua and Barbuda,9106,0,146,0,8954,0,6,0,91509,1467,18901,189943,99509,0,11,682,5,0,0,60
207,Liberia,8090,0,295,0,7783,0,12,2,1525,56,139824,26356,5305117,0,656,17983,38,0,0,2
208,Sierra Leone,7779,0,126,0,0,0,0,0,937,15,259958,31296,8306436,0,1068,65924,32,0,0,332
209,Chad,7701,0,194,0,4874,0,2633,0,442,11,191341,10988,17413580,0,2261,89761,91,0,0,151
210,British Virgin Islands,7392,0,64,0,0,0,0,0,241600,2092,107339,3508269,30596,0,4,478,0,0,0,3236
211,Cook Islands,7203,0,2,0,7150,0,51,0,409937,114,19690,1120596,17571,0,2,8786,1,0,0,2903
212,Sao Tome and Principe,6778,0,80,0,6685,0,13,0,29770,351,29600,130008,227679,0,34,2846,8,0,0,57
213,Turks and Caicos,6752,0,40,0,6709,0,3,4,169900,1007,616788,15520193,39741,0,6,994,0,0,0,75
214,Saint Kitts and Nevis,6607,0,48,0,6559,0,0,0,122645,891,126958,2356704,53871,0,8,1122,0,0,0,0
215,Palau,6290,0,10,0,6276,0,4,0,344979,548,71434,3917841,18233,0,3,1823,0,0,0,219
216,St. Barth,5507,0,6,0,0,0,0,0,553746,603,78646,7908095,9945,0,2,1658,0,0,0,506687
217,Nauru,5393,0,1,0,5347,0,45,0,494635,92,20509,1881042,10903,0,2,10903,1,0,0,4127
218,Kiribati,5085,0,24,0,2703,0,2358,3,41201,194,0,0,123419,0,24,5142,0,0,0,19106
